city,name,latitude,longitude,address,rating,user_ratings_total
Istanbul,Cistern of Theodosius,41.0073894,28.9723925,"Binbirdirek, Piyer Loti Cd. No:2/1, 34122 Fatih/İstanbul, Türkiye",4.5,9094
Izmir,İzmir Historical Elevator Building,38.4086587,27.1176455,"Turgut Reis, Şht. Nihatbey Cd. 76/A, 35000 Konak/İzmir, Türkiye",4.6,25912
Izmir,Izmir Wildlife Park,38.49102,26.9636834,"Sasalı, Ahmet Piriştina Cd. No:3, 35620 Çiğli/İzmir, Türkiye",4.5,21037
Izmir,Clock Tower of İzmir,38.418869,27.1286678,"Kültür, Atatürk Cd., 35220 Konak/İzmir, Türkiye",4.7,22421
Izmir,İzmir Atatürk Anıtı,38.4288177,27.1343975,"Akdeniz, Cumhuriyet Blv No:3, 35210 Konak/İzmir, Türkiye",4.7,453
Izmir,İnciraltı Kent Ormanı,38.4080398,27.0637471,"Bahçelerarası, Engelliler Mrk. İçi Yolu, 35330 Balçova/İzmir, Türkiye",4.3,8718
Izmir,Arkas Art Center,38.4320199,27.1368178,"Kültür, 1380 . Sk. 3-1, 35230 Konak/İzmir, Türkiye",4.8,2175
Izmir,Izmir Archaeological and Ethnography Museum,38.4136506,27.1285874,"Konak Mahallesi, Bahri Baba Parkı, Halil Rıfat Paşa Cd. No:4, 35260 Konak/İzmir, Türkiye",4.4,2768
Izmir,Kemeraltı Bazaar,38.4186948,27.1330121,"Konak, Anafartalar Cd., 35250 Konak/İzmir, Türkiye",4.4,28109
Izmir,Ataturk Konak Square,38.4190856,27.1292337,"Konak, 35250 Konak/İzmir, Türkiye",4.6,7751
Izmir,Agora Ören Yeri,38.4198081,27.1385228,"Namazgah, Tarik Sari Sokağı No:29, 35240 Konak/İzmir, Türkiye",4.4,2319
Izmir,Agora of Smyrna,38.4183985,27.1389097,"Namazgah, Tarik Sari Sokağı No:29, 35240 Konak/İzmir, Türkiye",4.5,2926
Izmir,Varyant,38.4113075,27.1277775,"Fatih, Birleşmiş Milletler Cd., 35260 Konak/İzmir, Türkiye",4.6,287
Izmir,İZULAŞ A.Ş. İZMİR BALÇOVA TELEFERİK,38.3875794,27.0447762,"Teleferik, Sakarya Cd. No:131/A, 35330 Balçova/İzmir, Türkiye",4.4,4132
Izmir,Universal Children's Museum and Theme Park,38.4748007,27.0833072,"Yalı, Ahmet Kemal Baysak Bulvari No:1, 35550 Karşıyaka/İzmir, Türkiye",4.1,1768
Izmir,Güzelyali Park,38.397725,27.0829082,"Güzelyalı, 32. Sk. 1 C, 35290 Konak/İzmir, Türkiye",4.5,4736
Izmir,Izmir Cruise Pirs,38.4449603,27.1468541,"Umurbey, İzmir Limanı, 35230 Konak/İzmir, Türkiye",4.3,13
Izmir,Ataturk Museum,38.43565,27.1405196,"Alsancak Mh.,, Gündüğdu Caddesi No:242, 35220 Konak/İzmir, Türkiye",4.8,2197
Izmir,Arkas Marine Historical Center,38.4635037,27.2199369,"Erzene, 80. Sk. No:28, 35040 Bornova/İzmir, Türkiye",4.8,364
Izmir,Peace Steps,38.4096411,27.1189282,"Turgut Reis, Mithatpaşa Cd. No:187, 35280 Konak/İzmir, Türkiye",3.4,29
Izmir,History & Arts Museum,38.4362961,27.1481499,"Mimar Sinan, İzmir Kültür Sanat Fabrikası, 35220 Konak/İzmir, Türkiye",4.5,737
Konya,Mevlana Museum,37.8707281,32.504999,"Aziziye, Mevlana Cd. No:1, 42030 Karatay/Konya, Türkiye",4.7,64204
Konya,Konya Tropical Butterfly Garden,37.9483683,32.4615916,"Parsana, İsmail Kaya Cd. NO:244, 42250 Selçuklu/Konya, Türkiye",4.6,23453
Konya,Azizia Mosque,37.8699616,32.5008889,"Aziziye, Selimiye Cd. 9 B, 42030 Karatay/Konya, Türkiye",4.8,4698
Konya,Stone Works Museum of Fine Minaret,37.8728716,32.4899749,"Hamidiye, Alaaddin Blv., 42060 Selçuklu/Konya, Türkiye",4.6,1048
Konya,Around the World in 80 Thousand Park,37.8297067,32.4149518,"Durunday, Dutlu Cd. No:139, 42140 Meram/Konya, Türkiye",4.6,8663
Konya,Konya Science Center,37.9878382,32.5927663,"Büyükkayacık, Ankara Cd. No:292, 42250 Selçuklu/Konya, Türkiye",4.6,7208
Konya,Selimiye Mosque,37.870505,32.5039023,"Aziziye, Müze Alanı Cd. No:5, 42030 Karatay/Konya, Türkiye",4.8,1640
Konya,Culture Park,37.8751151,32.4891489,"Ferhuniye, Fuar Alanı 4 D, 42060 Selçuklu/Konya, Türkiye",4.3,18076
Konya,Mevlana Meydanı,37.870807,32.5036811,"Aziziye, Selimiye Cami No:3, 42030 Karatay/Konya, Türkiye",4.7,432
Konya,Karatay Belediyesi Hayvanat Bahçesi,37.8768574,32.5502077,"Fetih, Saadet Cd. No:2, 42030 Karatay/Konya, Türkiye",4.0,5798
Konya,Kyoto Japanese Park,37.9784753,32.5185385,"Kosova, Veysel Karani Cd. No:131/A, 42250 Selçuklu/Konya, Türkiye",4.4,15168
Konya,Karatay Madrasa,37.8748656,32.4929594,"Ferhuniye, 42040 Selçuklu/Konya, Türkiye",4.6,1658
Konya,Karatay Şehir Parkı,37.8733508,32.5512324,"Fetih, Karatay Bld. Karavan Parkı, 42030 Karatay/Konya, Türkiye",4.3,5260
Konya,Akyokus Park,37.8802778,32.42583330000001,"Yunus Emre, Yunus Emre Mah. Beyşehir Çevre Yolu, Tıpfakültesi, Enes Sk. No:7/B, 42080 Meram/Konya, Türkiye",4.5,2092
Konya,Shams of Tabriz Mosque and Tomb,37.8736757,32.4974908,"Şemsitebrizi, Şems Cd., 42030 Karatay/Konya, Türkiye",4.7,4351
Konya,Sahip Ata Museum,37.867578,32.494342,"Sahibiata, 42200 Meram/Konya, Türkiye",4.6,744
Konya,KONYA MERAM BAĞLARI,37.8526815,32.4201707,"Yorgancı, 42005 Meram/Konya, Türkiye",4.3,3626
Konya,Karaaslan Hadimi Park,37.8089835,32.516714,"Karaaslan Aybahçe, Fidanlık Cd. No:15, 42010 Meram/Konya, Türkiye",4.3,3951
Konya,Gedavet Park,37.8705144,32.4856248,"Abdülaziz, Hocahasan Sk. No:1, 42040 Meram/Konya, Türkiye",4.1,2373
Konya,Sırçalı Medrese,37.870049,32.494018,"Sahibiata, Şube Sk. No:2, 42040, 42040 Meram/Konya, Türkiye",4.3,711
Kayseri,Kayseri Castle,38.7211992,35.4885447,"Cumhuriyet, Nazmi Toker Cd. No:2, 38350 Melikgazi/Kayseri, Türkiye",4.4,14018
Kayseri,Seljuk Civilization Museum,38.7242255,35.4844718,"Gevhernesibe, Tekin Sk. No:13, 38010 Kocasinan/Kayseri, Türkiye",4.6,2294
Kayseri,Mazakaland Entertainment Center,38.7659611,35.5643711,"Cırgalan Mahallesi Sivas cad. 7. km, Kumarlı mevkii No:439, 38110 Kocasinan/Kayseri, Türkiye",3.9,8680
Kayseri,Ercİyes Ski Resort,38.538985,35.5266161,"Hisarcık Erciyes, 38220 Melikgazi/Kayseri, Türkiye",4.6,20075
Kayseri,Kayseri Zoo,38.770572,35.5592455,"Cırgalan, 359. Sk. No:57, 38110 Kocasinan/Kayseri, Türkiye",4.2,3249
Kayseri,Ataturk House Museum,38.7190437,35.4904719,"Cumhuriyet, Mevlevi Cd. No:36, 38350 Melikgazi/Kayseri, Türkiye",4.6,1471
Kayseri,The National Struggle Museum,38.716624,35.488983,"Tacettin Veli, İnönü Blv. No:72, 38050 Melikgazi/Kayseri, Türkiye",4.8,1136
Kayseri,Kayseri Clock Tower,38.7220534,35.488042,"Gesi Kuzey, Cumhuriyet Meydani, 38180 Melikgazi/Kayseri, Türkiye",4.6,367
Kayseri,Seyir Tepesi,38.679575,35.5317217,"Erenköy, Meşedibi Sk. No:37, 38050 Melikgazi/Kayseri, Türkiye",4.3,269
Kayseri,Agirnas Underground City,38.813443,35.7164,"Ağırnas Mahallesi 38225 yeraltı şehri, 38225 Melikgazi/Kayseri, Türkiye",4.4,914
Kayseri,Koramaz Vadisi,38.8135214,35.7158279,"Ağırnas, 38225 Melikgazi/Kayseri, Türkiye",4.5,923
Kayseri,Sahabiye Madrasa,38.7232334,35.4870253,"Sahabiye, Ahmet Paşa Cd. 1 A, 38010 Kocasinan/Kayseri, Türkiye",4.4,418
Kayseri,Doner Dome,38.714027,35.4957656,"Seyitgazi, Seyyid Burhanettin Blv. 57 A, 38030 Melikgazi/Kayseri, Türkiye",4.5,918
